trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-186.13748811890486,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-172.65441871266918,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,14,3.284658535956891,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-94.63506714470537,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-72.47241484180826,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,14,-51.58311490609697,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-113.9773428248038,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-5.4171491406106345,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-13.08395673102413,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-40.77007977987669,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-23.882607136942564,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-44.39247122528369,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-47.72122611644392,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-18.77418526679066,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,5,-52.19019282437786,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-66.52123619668785,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,11,10.13463651269407,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,10.34047639986747,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,7,22.282145288859855,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,29.41122435931491,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,12.798491629525017,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,1,34.405046113915766,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,13.038668204777561,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,3,19.929802507584636,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,14.686382056733331,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,50.3124824821097,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,24.4678795058195,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,4,-0.9848894289312362,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,20.316472429576088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,14.476198401472777,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
