trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.99501247919268232}",20,0,-117.95358627842576,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.99004983374916811}",25,0,-152.92885321989547,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.98511193960306265}",20,0,-81.18150313946437,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.98019867330675525}",20,0,-132.93306891553377,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.97530991202833262}",30,0,-135.7744328910633,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
6,False,"{'a': 0.005, 'e': 0.97044553354850815}",20,0,-89.5993590018033,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.96560541625756646}",30,0,-188.4211349510812,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.96078943915232318}",20,0,-180.20728301786494,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.005, 'e': 0.95599748183309996}",25,0,-228.30064021721452,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.005, 'e': 0.95122942450071402}",20,0,-51.667242852849284,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.94648514795348382}",30,0,-175.00901031748234,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.005, 'e': 0.94176453358424872}",30,0,-246.86590603848884,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
13,False,"{'a': 0.005, 'e': 0.93706746337740343}",25,0,-152.21657660209289,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.93239381990594827}",20,0,-50.99271353038399,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
